wareh,capacity,buffer,QMK,CHIM,CHI,KLQ,GO,GP,GS,BS,RND
4.0,5000.0,0.0,167548.0,178000.0,166574.0,167548.0,198077.0,192402.0,186165.0,186165.0,205957.0
4.0,5000.0,0.0,167112.0,174575.0,165956.0,167112.0,195240.0,188627.0,181773.0,181773.0,205157.0
2.0,6000.0,1000.0,121888.0,125420.0,124435.0,121888.0,131935.0,129742.0,127806.0,125543.0,144424.0
2.0,6000.0,1000.0,119279.0,120908.0,119664.0,119279.0,128333.0,127146.0,121057.0,120831.0,143571.0
2.0,6000.0,1000.0,115222.0,115753.0,115393.0,115222.0,122872.0,123904.0,116334.0,115950.0,140867.0
3.0,6000.0,1000.0,144346.0,151066.0,151066.0,144346.0,157757.0,156348.0,152912.0,154750.0,173903.0
3.0,6000.0,1000.0,143745.0,147518.0,140413.0,143745.0,155482.0,152837.0,147804.0,150010.0,173564.0
3.0,6000.0,1000.0,141059.0,143684.0,139671.0,141059.0,151840.0,149908.0,142923.0,144914.0,172683.0
4.0,6000.0,1000.0,157651.0,167149.0,155402.0,157651.0,177188.0,174809.0,172388.0,176254.0,193147.0
4.0,6000.0,1000.0,156184.0,160759.0,153836.0,156184.0,174690.0,172014.0,167491.0,171793.0,192951.0
4.0,6000.0,1000.0,152924.0,160847.0,154572.0,152924.0,172116.0,169192.0,163410.0,166906.0,192375.0
2.0,6000.0,0.0,137820.0,141833.0,138504.0,137820.0,152685.0,147792.0,144545.0,144545.0,154967.0
2.0,6000.0,0.0,135435.0,137197.0,136601.0,135435.0,149659.0,144098.0,137308.0,137308.0,154545.0
2.0,6000.0,0.0,131453.0,132207.0,131750.0,131453.0,145598.0,140991.0,132035.0,132035.0,153157.0
3.0,6000.0,0.0,155455.0,164769.0,156470.0,155455.0,182452.0,175387.0,174194.0,174194.0,186368.0
3.0,6000.0,0.0,156011.0,163322.0,153593.0,156011.0,179523.0,173106.0,165910.0,165910.0,186040.0
3.0,6000.0,0.0,152628.0,160891.0,152101.0,152628.0,176055.0,170064.0,160882.0,160882.0,185056.0
4.0,6000.0,0.0,165450.0,175473.0,166196.0,165450.0,201335.0,195073.0,191670.0,191670.0,206212.0
4.0,6000.0,0.0,164757.0,174935.0,164767.0,164757.0,198458.0,192060.0,186465.0,186465.0,205989.0
4.0,6000.0,0.0,163660.0,173124.0,163521.0,163660.0,195535.0,187708.0,182254.0,182254.0,205132.0
2.0,7200.0,1200.0,121391.0,125703.0,123076.0,121391.0,131634.0,129663.0,129088.0,126128.0,144469.0
2.0,7200.0,1200.0,118694.0,121207.0,119565.0,118694.0,128650.0,126943.0,121404.0,121513.0,143582.0
2.0,7200.0,1200.0,115700.0,116280.0,115461.0,115700.0,124010.0,123827.0,116278.0,116255.0,140942.0
3.0,7200.0,1200.0,142911.0,152104.0,152104.0,142911.0,157412.0,156120.0,154246.0,155258.0,173937.0
3.0,7200.0,1200.0,140543.0,147492.0,141444.0,140543.0,154930.0,152909.0,147913.0,150379.0,173600.0
3.0,7200.0,1200.0,140064.0,144519.0,144519.0,140064.0,151487.0,149059.0,143243.0,145446.0,172687.0
4.0,7200.0,1200.0,155332.0,163548.0,163548.0,155332.0,176010.0,174003.0,170642.0,176571.0,193197.0
4.0,7200.0,1200.0,153584.0,160883.0,152525.0,153584.0,174265.0,171089.0,167782.0,172164.0,192944.0
4.0,7200.0,1200.0,152056.0,162903.0,151617.0,152056.0,171666.0,169354.0,163340.0,167516.0,192335.0
2.0,7000.0,0.0,135638.0,142271.0,135925.0,135638.0,153720.0,147586.0,143943.0,143943.0,155073.0
2.0,7000.0,0.0,133096.0,137820.0,134675.0,133096.0,150922.0,144266.0,138061.0,138061.0,154631.0
2.0,7000.0,0.0,131039.0,132696.0,131502.0,131039.0,146694.0,139994.0,132784.0,132784.0,153272.0
