wareh,capacity,buffer,QMK,CHIM,CHI,KLQ,GO,GP,GS,BS
2.0,2400.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,2400.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,2400.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,2400.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,2400.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,2400.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,2400.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,2400.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,2400.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,3000.0,0.0,8.269481036172721e-15,0.0,0.0,8.269481036172721e-15,0.0,0.0,0.0,0.0
3.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,3600.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,3600.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,3600.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,3600.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,3600.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,3600.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,3600.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,3600.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,3600.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,4800.0,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,4800.0,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,4800.0,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,4800.0,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,4800.0,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,4800.0,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,4800.0,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,4800.0,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,4800.0,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,6000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
