wareh,capacity,buffer,QMK,CHIM,CHI,KLQ,GO,GP,GS,BS,RND
4.0,4800.0,800.0,120538.0,117799.0,117428.0,120538.0,164663.0,161675.0,164281.0,177343.0,192602.0
2.0,5000.0,0.0,113966.0,114858.0,114030.0,113966.0,151040.0,147176.0,150943.0,150943.0,155204.0
2.0,5000.0,0.0,113661.0,115174.0,113469.0,113661.0,148915.0,144392.0,145264.0,145264.0,154775.0
2.0,5000.0,0.0,113352.0,113547.0,113255.0,113352.0,145956.0,141263.0,140789.0,140789.0,153399.0
3.0,5000.0,0.0,119332.0,120080.0,119415.0,119332.0,177705.0,173825.0,181064.0,181064.0,186777.0
3.0,5000.0,0.0,119102.0,119554.0,118905.0,119102.0,176789.0,170640.0,175514.0,175514.0,186437.0
3.0,5000.0,0.0,118915.0,120145.0,118917.0,118915.0,173874.0,167916.0,171360.0,171360.0,185440.0
4.0,5000.0,0.0,122126.0,123260.0,122382.0,122126.0,195878.0,191153.0,200743.0,200743.0,206819.0
4.0,5000.0,0.0,121865.0,123325.0,122112.0,121865.0,194664.0,189303.0,195853.0,195853.0,206483.0
4.0,5000.0,0.0,121876.0,122536.0,121931.0,121876.0,192526.0,185508.0,193396.0,193396.0,205745.0
2.0,6000.0,1000.0,109940.0,106976.0,106944.0,109940.0,127609.0,121708.0,128697.0,133140.0,144716.0
2.0,6000.0,1000.0,109413.0,106853.0,106691.0,109413.0,124466.0,120384.0,123009.0,129001.0,143833.0
2.0,6000.0,1000.0,108386.0,106515.0,106450.0,108386.0,121594.0,118090.0,118663.0,123703.0,141085.0
3.0,6000.0,1000.0,116298.0,113771.0,113751.0,116298.0,150519.0,146888.0,153530.0,165022.0,174314.0
3.0,6000.0,1000.0,116044.0,113936.0,113837.0,116044.0,149401.0,146817.0,148040.0,161236.0,173963.0
3.0,6000.0,1000.0,115908.0,113395.0,113171.0,115908.0,146860.0,144846.0,145132.0,156498.0,173042.0
