wareh,capacity,buffer,QMK,CHIM,CHI,KL,KLQ,GO,GP,GS,BS,RND
3.0,700.0,0.0,15442.0,14865.0,14776.0,18453.0,15442.0,17417.0,15024.0,15099.0,15099.0,18595.0
3.0,700.0,0.0,15589.0,14380.0,14241.0,18208.0,15589.0,16985.0,14455.0,14443.0,14443.0,18490.0
4.0,700.0,0.0,17205.0,17451.0,17216.0,20367.0,17205.0,19936.0,17579.0,17837.0,17837.0,20619.0
4.0,700.0,0.0,16699.0,16909.0,16783.0,20307.0,16699.0,19607.0,17019.0,17128.0,17128.0,20587.0
4.0,700.0,0.0,16205.0,16344.0,16228.0,20205.0,16205.0,19227.0,16542.0,16523.0,16523.0,20518.0
2.0,840.0,140.0,11277.0,11272.0,11272.0,15249.0,11277.0,11881.0,11319.0,11328.0,11281.0,14446.0
2.0,840.0,140.0,10882.0,10893.0,10886.0,15386.0,10882.0,11316.0,10921.0,10953.0,10902.0,14364.0
2.0,840.0,140.0,10557.0,10570.0,10558.0,15293.0,10557.0,10883.0,10619.0,10638.0,10580.0,14085.0
3.0,840.0,140.0,13587.0,14099.0,13670.0,18288.0,13587.0,14793.0,14175.0,14118.0,13909.0,17377.0
3.0,840.0,140.0,13832.0,13539.0,13336.0,18524.0,13832.0,14534.0,13634.0,13620.0,13407.0,17354.0
3.0,840.0,140.0,13964.0,12951.0,12767.0,18400.0,13964.0,14081.0,13132.0,13099.0,12886.0,17266.0
4.0,840.0,140.0,15451.0,15846.0,15846.0,20331.0,15451.0,16573.0,16099.0,16017.0,16104.0,19309.0
4.0,840.0,140.0,15268.0,15361.0,15361.0,20390.0,15268.0,16234.0,15686.0,15660.0,15444.0,19293.0
4.0,840.0,140.0,14880.0,14896.0,14896.0,20346.0,14880.0,15823.0,15186.0,14955.0,14912.0,19245.0
2.0,800.0,0.0,12799.0,12821.0,12801.0,15494.0,12799.0,14900.0,12914.0,12857.0,12857.0,15556.0
2.0,800.0,0.0,12155.0,12163.0,12149.0,15380.0,12155.0,14213.0,12193.0,12213.0,12213.0,15519.0
2.0,800.0,0.0,11608.0,11620.0,11616.0,15195.0,11608.0,13644.0,11637.0,11664.0,11664.0,15373.0
3.0,800.0,0.0,15460.0,15597.0,15471.0,18607.0,15460.0,17843.0,15652.0,15739.0,15739.0,18714.0
