wareh,capacity,buffer,QMK,CHIM,CHI,KL,KLQ,GO,GP,GS,BS,RND
3.0,400.0,0.0,0.7369335,0.2482488,0.2637176,47.8661675,0.7580648,0.0580564,0.0121866,0.0044993,0.0046622,0.0517368
3.0,400.0,0.0,0.8003813,0.2690598,0.3179108,48.5887953,0.7742544,0.0618052,0.0123859,0.0049088,0.0047352,0.0562925
4.0,400.0,0.0,1.4821759,0.2853276,0.2937906,45.0431234,1.4401187,0.0550653,0.0126505,0.0058468,0.0058772,0.0666747
4.0,400.0,0.0,0.9815066,0.258342,0.2767933,44.1159956,0.9462354,0.0552805,0.0121516,0.005938,0.0063948,0.0571674
4.0,400.0,0.0,0.9478331,0.2496088,0.2612467,44.019195,0.9656228,0.0558757,0.0129487,0.0061756,0.0059454,0.0617378
2.0,480.0,80.0,0.5194889,0.2574548,0.2789832,58.3089346,0.5598898,0.0566065,0.0121356,0.0048771,0.0039747,0.1950237
2.0,480.0,80.0,0.5868893,0.3607937,0.3149614,56.7753005,0.5502327,0.0569628,0.0121133,0.0046459,0.0034593,0.1869961
2.0,480.0,80.0,0.6610323,0.306364,0.2759055,57.9201674,0.6824807,0.0562542,0.0127884,0.0043389,0.0036888,0.1876429
3.0,480.0,80.0,1.3921353,0.2500481,0.2649394,53.1201668,1.3328911,0.0576255,0.0128596,0.0052267,0.0043468,0.3396178
3.0,480.0,80.0,1.338524,0.3093146,0.3319299,50.0951956,1.3101978,0.0565375,0.0122175,0.0049673,0.004044,0.326725
3.0,480.0,80.0,0.7770648,0.2835156,0.3032446,53.6877979,0.7645082,0.0562132,0.0133857,0.0052331,0.0106985,0.331253
4.0,480.0,80.0,1.5411656,0.2994653,0.321356,44.6198554,1.5388292,0.0564816,0.0134227,0.0072444,0.0050433,0.6602193
4.0,480.0,80.0,1.2031814,0.2929962,0.308782,45.6996187,1.2411135,0.0568816,0.0139856,0.0062482,0.0053746,0.6547882
4.0,480.0,80.0,1.3738061,0.2982384,0.3009812,44.8115369,1.417733,0.0569321,0.0153541,0.0070543,0.0048359,0.6508114
2.0,500.0,0.0,0.635774,0.2722365,0.2620908,105.1350538,0.6456707,0.0678701,0.0323553,0.0049004,0.0048528,0.0636792
2.0,500.0,0.0,0.7674624,0.3051121,0.3082112,103.3930862,0.7830732,0.065933,0.0331609,0.0047286,0.0047947,0.0655669
2.0,500.0,0.0,1.0583632,0.2952977,0.3023891,101.5044613,1.0849961,0.065323,0.0328472,0.0045214,0.0044932,0.0681361
3.0,500.0,0.0,1.0175123,0.2662148,0.3046461,94.7654346,1.0208482,0.0655924,0.0362801,0.0064207,0.005793,0.0681047
3.0,500.0,0.0,1.0312344,0.3026287,0.3101369,93.7791343,1.0376574,0.0659033,0.0338266,0.005646,0.0057039,0.0707879
3.0,500.0,0.0,1.4898545,0.2664455,0.2789501,101.1722363,1.5145717,0.0663805,0.0333689,0.005742,0.0054695,0.0732869
4.0,500.0,0.0,1.615067,0.3586189,0.3538144,87.7617753,1.5967132,0.0660467,0.0349063,0.0073633,0.0075105,0.078429
4.0,500.0,0.0,1.3309209,0.3133079,0.2942453,83.816408,1.4077971,0.0677336,0.0365943,0.0082599,0.0071628,0.080437
4.0,500.0,0.0,1.3357607,0.2903291,0.3229084,86.8867464,1.3808063,0.0657846,0.0357399,0.0083643,0.0070107,0.0926695
2.0,600.0,100.0,0.7769326,0.2987022,0.2886195,117.1200376,0.8374525,0.0698387,0.036571,0.005934,0.0046604,0.2217442
2.0,600.0,100.0,0.6717371,0.2778487,0.2814758,116.0369898,0.6594713,0.0665358,0.0330341,0.0048498,0.004543,0.2123556
2.0,600.0,100.0,0.9637783,0.3391454,0.3090844,112.838821,0.962085,0.0655114,0.0326389,0.0048381,0.0044143,0.210131
3.0,600.0,100.0,1.1759751,0.3193447,0.3219295,98.1172183,1.1559952,0.067545,0.0445649,0.0061667,0.0049287,0.3878638
3.0,600.0,100.0,0.9884306,0.2574471,0.3070065,90.4483293,0.9969721,0.0657352,0.0331997,0.0065524,0.0054642,0.3577308
3.0,600.0,100.0,1.0875553,0.3112302,0.3187576,89.0980519,1.0973432,0.0666999,0.0348038,0.0065344,0.0050899,0.3584562
4.0,600.0,100.0,1.786272,0.2968919,0.2937374,79.6642901,1.8474691,0.065911,0.038337,0.0089339,0.0063295,0.7292503
4.0,600.0,100.0,2.8623482,0.34277,0.4017434,79.6815416,2.8502039,0.0666954,0.037336,0.0081,0.0055362,0.6721993
4.0,600.0,100.0,1.789693,0.3015546,0.3017168,79.4394646,1.8250536,0.0671209,0.0393381,0.0076407,0.0057247,0.7092463
2.0,600.0,0.0,0.8160971,0.3406911,0.342126,174.1878703,0.8340776,0.076083,0.0518695,0.0067913,0.0067183,0.0809942
2.0,600.0,0.0,1.1131206,0.3159158,0.2907335,179.8951861,0.8203387,0.0776838,0.0512319,0.0063823,0.0062803,0.0845197
2.0,600.0,0.0,0.8328247,0.2831145,0.3085757,169.0202044,0.8564316,0.076459,0.0537805,0.0065124,0.0066151,0.0925332
3.0,600.0,0.0,1.2123684,0.3241935,0.347567,156.6039373,1.182997,0.0760296,0.0534604,0.0081305,0.0077496,0.0853523
3.0,600.0,0.0,1.1935191,0.2767619,0.2885208,155.0095536,1.1699312,0.0771884,0.0539301,0.0082831,0.0085371,0.0938742
3.0,600.0,0.0,1.2271877,0.2801278,0.2719927,155.6379424,1.1945026,0.0769325,0.0558461,0.0088649,0.0083572,0.1009103
4.0,600.0,0.0,1.7678057,0.3452882,0.3335509,127.2886036,1.7976127,0.0765519,0.0565044,0.0098336,0.0099241,0.1012818
4.0,600.0,0.0,1.6125407,0.3367385,0.2941504,131.8836553,1.5862679,0.0773843,0.0582481,0.0095437,0.0099574,0.1017563
4.0,600.0,0.0,1.584332,0.2654085,0.3083839,132.1598195,1.6162718,0.0776765,0.0564698,0.0107537,0.0099332,0.1048796
2.0,720.0,120.0,0.8372306,0.3485301,0.3400086,190.3091104,0.82703,0.0790609,0.0511518,0.0078807,0.0056126,0.2447146
2.0,720.0,120.0,0.8338086,0.2976889,0.3137416,169.3072638,0.8369206,0.077631,0.0526892,0.0075131,0.0057259,0.2336175
2.0,720.0,120.0,0.8631169,0.2814644,0.2747406,180.4714731,0.8397455,0.0768223,0.0517646,0.006738,0.0060323,0.2421635
3.0,720.0,120.0,1.2342363,0.2780222,0.2975304,172.1322849,1.2363517,0.077949,0.0554257,0.0086548,0.006579,0.3988163
3.0,720.0,120.0,1.3181678,0.2774262,0.3040252,175.8284208,1.340299,0.0785303,0.0567604,0.0086583,0.0068007,0.3833735
3.0,720.0,120.0,1.2394341,0.299726,0.3237024,182.3725585,1.2023068,0.0792377,0.0580864,0.0091487,0.0074328,0.3844817
4.0,720.0,120.0,6.2740535,0.2900728,0.3281028,142.3707322,6.2759991,0.0779441,0.0597814,0.011737,0.0076199,0.7717597
4.0,720.0,120.0,1.7609874,0.3087838,0.3294598,144.185348,1.7458723,0.0765428,0.0643677,0.0109399,0.0079583,0.7631386
4.0,720.0,120.0,2.4099074,0.2897784,0.3452306,156.6013666,2.5175031,0.0843556,0.0733118,0.0113699,0.0079992,0.7359804
2.0,700.0,0.0,0.9944158,0.2554053,0.2561146,300.9598225,0.9731238,0.0848184,0.0659363,0.0092102,0.0087385,0.1078799
2.0,700.0,0.0,0.9739967,0.3364177,0.2911439,328.7656994,0.9583766,0.0855902,0.0637939,0.0096672,0.0085682,0.1201515
2.0,700.0,0.0,0.9406183,0.2677254,0.274321,286.2190226,0.9655953,0.0864324,0.0656682,0.0091547,0.0084633,0.1251131
3.0,700.0,0.0,1.5270926,0.26583,0.2782358,271.6108745,1.565851,0.0853155,0.065539,0.0108389,0.010596,0.1158887
3.0,700.0,0.0,1.4790051,0.2935564,0.293733,289.3833173,1.4590426,0.0862725,0.067913,0.0111716,0.0102299,0.1188606
3.0,700.0,0.0,1.6213105,0.3131538,0.2873744,253.6926109,1.6155288,0.0860092,0.065715,0.0114987,0.0104906,0.1237667
4.0,700.0,0.0,1.9189192,0.2686664,0.3016516,229.3733028,1.8759774,0.0856278,0.0693286,0.0127796,0.0129373,0.1376324
4.0,700.0,0.0,2.2705441,0.2639437,0.2724234,222.1930111,2.3994675,0.0866236,0.0741445,0.014712,0.0135071,0.1313695
4.0,700.0,0.0,1.9824804,0.2890838,0.3304403,229.52486,1.9294398,0.0858138,0.0699587,0.0139983,0.0134443,0.1286005
2.0,840.0,140.0,1.1306039,0.2930584,0.2963675,284.6482059,1.0904482,0.0857909,0.0640912,0.0088128,0.0067688,0.2755473
2.0,840.0,140.0,1.1125032,0.2641052,0.2916291,282.0075572,1.1252356,0.0874747,0.0627038,0.0090853,0.0073846,0.291563
2.0,840.0,140.0,0.9702023,0.3342262,0.3518586,318.924103,0.9692721,0.0854712,0.063068,0.0093837,0.0071516,0.2779409
3.0,840.0,140.0,1.474247,0.2922208,0.326987,332.6186796,1.4860303,0.0864097,0.0681839,0.011487,0.0092274,0.4291561
