wareh,capacity,buffer,QMK,CHIM,CHI,KL,KLQ,GP,GS,BS,RND
2.0,440.0,40.0,0.591627505,0.203777455,0.230749277,0.0,0.0,0.015332972,0.008909428,0.008609383,0.037890669
2.0,440.0,40.0,0.895731064,0.208505501,0.2248559,0.0,0.0,0.015619873,0.009084709,0.008888758,0.04321517
2.0,440.0,40.0,0.746233333,0.22442227,0.226159503,0.0,0.0,0.015185575,0.00900159,0.008607549,0.045707407
3.0,440.0,40.0,1.306451089,0.207402798,0.284493258,0.0,0.0,0.016333706,0.009962112,0.009508476,0.076574989
3.0,440.0,40.0,1.176630513,0.205782612,0.251796024,0.0,0.0,0.015974311,0.009425349,0.00925537,0.075698779
3.0,440.0,40.0,2.850935583,0.202915677,0.244218842,0.0,0.0,0.016806186,0.009516723,0.009683216,0.071006956
4.0,440.0,40.0,3.095109143,0.204144659,0.350040491,0.0,0.0,0.016539383,0.010232299,0.009514429,0.125398992
4.0,440.0,40.0,5.113785612,0.209521626,0.371363653,0.0,0.0,0.016479051,0.010320137,0.009727428,0.12509682
4.0,440.0,40.0,3.245151555,0.211300727,0.288000655,0.0,0.0,0.016460566,0.010443307,0.009720265,0.124935053
2.0,480.0,80.0,0.619653915,0.213435336,0.227819888,0.0,0.0,0.01571466,0.00909161,0.008766589,0.043373685
2.0,480.0,80.0,1.019632235,0.211574447,0.227700642,0.0,0.0,0.016541047,0.00957464,0.009017461,0.043774199
2.0,480.0,80.0,0.616348324,0.211048333,0.235894207,0.0,0.0,0.016254557,0.008935525,0.008840387,0.047683795
3.0,480.0,80.0,1.610547459,0.212064115,0.258959233,0.0,0.0,0.016374714,0.010101644,0.009599969,0.078038588
3.0,480.0,80.0,1.141401284,0.207811078,0.252591863,0.0,0.0,0.01604975,0.009781248,0.009376769,0.07793434
3.0,480.0,80.0,0.939646916,0.20669841,0.262683475,0.0,0.0,0.01644811,0.009905453,0.009452099,0.077012713
4.0,480.0,80.0,8.409387984,0.205650412,0.316424884,0.0,0.0,0.01685179,0.010197263,0.009464593,0.133055373
4.0,480.0,80.0,4.16979172,0.200795953,0.309976622,0.0,0.0,0.016570451,0.010394153,0.009589979,0.132670977
4.0,480.0,80.0,2.668996929,0.204687122,0.304583827,0.0,0.0,0.016653618,0.010303924,0.009216865,0.12433506
2.0,500.0,0.0,0.935336245,0.221232734,0.205150012,284.711398661,0.948084489,0.020472164,0.010525615,0.010715514,0.015695322
2.0,500.0,0.0,0.735762508,0.208718237,0.21347681,275.94053745,0.742492604,0.020624994,0.010693387,0.010974317,0.017832066
2.0,500.0,0.0,0.764086273,0.213729916,0.217265796,279.92689638,0.763034526,0.02002463,0.010830665,0.010720015,0.018936045
3.0,500.0,0.0,1.859018911,0.214289781,0.217172961,260.91245712,1.848334566,0.020682279,0.011128054,0.011457065,0.019068775
3.0,500.0,0.0,2.065367541,0.21467154,0.21432262,255.857319656,2.062078094,0.020269076,0.011243195,0.011117036,0.016950197
3.0,500.0,0.0,2.032070292,0.23325552,0.226467689,260.856547594,2.046921053,0.020772128,0.011107984,0.011517659,0.018376272
4.0,500.0,0.0,1.955813923,0.213908945,0.221302006,243.490998701,1.954702657,0.021535704,0.01240006,0.012295804,0.020353896
4.0,500.0,0.0,4.458942365,0.212965434,0.218320631,243.397954698,4.479886794,0.021032098,0.01221603,0.012366947,0.01919022
4.0,500.0,0.0,1.525061158,0.210564908,0.217902309,240.206753523,1.520745366,0.020849937,0.012030776,0.012317879,0.019446259
2.0,550.0,50.0,1.137280532,0.211134386,0.254621256,0.0,0.0,0.020269257,0.010763985,0.010552715,0.04813753
2.0,550.0,50.0,1.753072983,0.213337446,0.239182956,0.0,0.0,0.020131822,0.010969753,0.010837882,0.046763961
2.0,550.0,50.0,0.753985279,0.215851202,0.237845022,0.0,0.0,0.020238733,0.010767829,0.010596796,0.048710722
3.0,550.0,50.0,3.464568121,0.214078591,0.258117057,0.0,0.0,0.021118696,0.0116299,0.011179838,0.081951507
3.0,550.0,50.0,2.980390242,0.218075616,0.288567228,0.0,0.0,0.020714757,0.011875782,0.011378631,0.081515038
3.0,550.0,50.0,3.271346104,0.215204399,0.257980922,0.0,0.0,0.021662788,0.012748022,0.011355776,0.08142629
4.0,550.0,50.0,3.310333751,0.214658002,0.29263426,0.0,0.0,0.021053543,0.012345338,0.011595419,0.138576003
4.0,550.0,50.0,2.863155994,0.215040918,0.28537981,0.0,0.0,0.021273686,0.012325218,0.01154971,0.141987673
4.0,550.0,50.0,3.137569093,0.213202448,0.285373701,0.0,0.0,0.021206396,0.012623903,0.011645831,0.141257572
2.0,600.0,100.0,0.943771679,0.213572125,0.22919079,0.0,0.0,0.020491311,0.011007862,0.010602825,0.0535324
2.0,600.0,100.0,0.741570031,0.214390041,0.230805643,0.0,0.0,0.020674053,0.01074799,0.011239951,0.054060181
2.0,600.0,100.0,0.791929714,0.213928213,0.236411137,0.0,0.0,0.020537603,0.011182541,0.010594348,0.053657705
3.0,600.0,100.0,1.428860768,0.214522998,0.257223914,0.0,0.0,0.020994025,0.011516922,0.01086619,0.085580663
3.0,600.0,100.0,2.779017689,0.211153436,0.254281845,0.0,0.0,0.021861724,0.011615006,0.010784034,0.086024923
3.0,600.0,100.0,1.632520958,0.205960268,0.26439848,0.0,0.0,0.020541384,0.011440244,0.011088578,0.083821126
4.0,600.0,100.0,2.54245402,0.209057225,0.256377124,0.0,0.0,0.02095832,0.011711717,0.011359571,0.141071544
4.0,600.0,100.0,2.451934527,0.205866815,0.254905904,0.0,0.0,0.020603227,0.012710646,0.011584515,0.140883362
4.0,600.0,100.0,1.563612036,0.205580314,0.305234705,0.0,0.0,0.020899234,0.012502621,0.011539237,0.139040724
2.0,600.0,0.0,0.950883771,0.209888776,0.211339556,434.088848273,0.980874705,0.028602387,0.012213289,0.012296997,0.020281109
2.0,600.0,0.0,1.26023794,0.219488513,0.221793146,422.354634638,1.246318983,0.027737201,0.01221008,0.012304457,0.021817807
2.0,600.0,0.0,0.996863728,0.20901636,0.219719704,414.520217263,0.993601496,0.028187789,0.012342354,0.012714987,0.021132223
3.0,600.0,0.0,3.062566779,0.218010876,0.224452734,385.765005067,3.001315895,0.028993386,0.013013709,0.012718201,0.021234634
3.0,600.0,0.0,1.825686736,0.207625798,0.213696214,391.683537164,1.834396792,0.028700791,0.013160344,0.013288486,0.025275636
3.0,600.0,0.0,1.483869823,0.213044388,0.214891884,384.633385299,1.478484439,0.028290465,0.013212653,0.013817813,0.027722001
4.0,600.0,0.0,3.336913154,0.210499282,0.218639072,355.940798991,3.331158324,0.028778395,0.014073636,0.014142295,0.022415177
4.0,600.0,0.0,1.974458858,0.210197077,0.216799868,360.853523879,1.96043916,0.028839569,0.014181229,0.014497145,0.025020373
4.0,600.0,0.0,2.459997189,0.20912346,0.218402659,353.896371155,2.483135719,0.029234001,0.014474099,0.014758681,0.026059352
2.0,660.0,60.0,1.467611784,0.215237338,0.256859615,0.0,0.0,0.028104482,0.012542654,0.012035742,0.05779762
2.0,660.0,60.0,1.0133638,0.211918066,0.237875249,0.0,0.0,0.027922795,0.012441049,0.012024696,0.059528745
2.0,660.0,60.0,1.026769629,0.216362604,0.237448323,0.0,0.0,0.027405614,0.012751241,0.012278442,0.061296157
3.0,660.0,60.0,1.985047557,0.215963178,0.257778566,0.0,0.0,0.028158709,0.013533524,0.013009018,0.09152106
3.0,660.0,60.0,2.09391245,0.212089931,0.271796407,0.0,0.0,0.028291648,0.01424735,0.012806315,0.091340504
3.0,660.0,60.0,1.894322194,0.213166736,0.257873552,0.0,0.0,0.028852615,0.013403913,0.013045919,0.09137121
4.0,660.0,60.0,3.064726632,0.214102808,0.29447015,0.0,0.0,0.0283597,0.014022442,0.013036646,0.179465616
4.0,660.0,60.0,3.143689716,0.214753375,0.321663869,0.0,0.0,0.028763774,0.014583243,0.013710258,0.178738932
4.0,660.0,60.0,3.070906307,0.212957079,0.292441729,0.0,0.0,0.028774709,0.01414373,0.013286663,0.178757393
2.0,720.0,120.0,1.011161473,0.213936381,0.240298196,0.0,0.0,0.027888695,0.012469646,0.011937153,0.062273619
2.0,720.0,120.0,1.360911417,0.212068934,0.230703083,0.0,0.0,0.028310452,0.012661255,0.012964572,0.060653208
2.0,720.0,120.0,1.055543867,0.211750562,0.235013978,0.0,0.0,0.027240175,0.012297663,0.011906924,0.059265192
3.0,720.0,120.0,1.597454593,0.213408505,0.269113372,0.0,0.0,0.028206819,0.013924741,0.012740643,0.09237485
3.0,720.0,120.0,1.516723429,0.210400299,0.239005877,0.0,0.0,0.028298517,0.013435264,0.013778634,0.091295806
3.0,720.0,120.0,4.500180816,0.208386131,0.252600852,0.0,0.0,0.028243177,0.013155216,0.012807007,0.093618818
4.0,720.0,120.0,2.511101377,0.21011696,0.284685602,0.0,0.0,0.027968896,0.014131833,0.012797885,0.162761987
4.0,720.0,120.0,2.184576244,0.204571483,0.306889761,0.0,0.0,0.02841117,0.014554056,0.012936718,0.185955164
4.0,720.0,120.0,2.922089322,0.212483545,0.313821523,0.0,0.0,0.029431847,0.014499249,0.013055645,0.184408222
2.0,700.0,0.0,1.397367603,0.210751179,0.214038123,627.769862432,1.390252037,0.0937236,0.013589537,0.013534001,0.027930825
2.0,700.0,0.0,1.135679163,0.211947092,0.216124879,618.598579211,1.142422787,0.094125218,0.0136018,0.013721905,0.030367473
2.0,700.0,0.0,1.398137728,0.214621826,0.220873024,612.786295727,1.386384942,0.094629841,0.01305291,0.013400072,0.030185066
3.0,700.0,0.0,1.790269226,0.213916084,0.219509189,566.215515565,1.817329225,0.094348865,0.014479749,0.014555631,0.028902097
3.0,700.0,0.0,2.048626595,0.218979566,0.226327924,582.747747585,2.054885957,0.097852717,0.014656772,0.014915128,0.029405527
3.0,700.0,0.0,2.206998396,0.221412322,0.252264561,604.972334186,2.173395383,0.094052067,0.014206877,0.013926409,0.029939433
4.0,700.0,0.0,7.460942516,0.215150653,0.22089313,513.560416742,7.467692704,0.095109046,0.015364257,0.01564149,0.026777325
4.0,700.0,0.0,5.68955803,0.216569451,0.239475474,509.267114308,5.602510101,0.097589387,0.015974952,0.015823351,0.028978766
4.0,700.0,0.0,2.964751433,0.217302578,0.227984739,510.2625479,2.956636172,0.095073616,0.015574132,0.015839415,0.029045236
2.0,770.0,70.0,2.058373668,0.21931681,0.286798509,0.0,0.0,0.093101196,0.013111901,0.013147006,0.060249481
2.0,770.0,70.0,2.811216364,0.216102424,0.249961815,0.0,0.0,0.092911268,0.013247377,0.012814575,0.061310919
2.0,770.0,70.0,2.54829537,0.216717163,0.239546179,0.0,0.0,0.094401006,0.013472022,0.013235573,0.063083446
3.0,770.0,70.0,27.228951821,0.213712281,0.257497784,0.0,0.0,0.093327758,0.014415648,0.01327784,0.09225992
3.0,770.0,70.0,1.785374177,0.216379485,0.255703315,0.0,0.0,0.093214598,0.014708682,0.01410641,0.091021367
3.0,770.0,70.0,3.768889594,0.214984963,0.272949678,0.0,0.0,0.090738926,0.013784949,0.014026228,0.093290151
4.0,770.0,70.0,4.454406765,0.221581343,0.330371018,0.0,0.0,0.093993138,0.01530983,0.014451523,0.195346809
4.0,770.0,70.0,3.79392533,0.239906394,0.280924635,0.0,0.0,0.094771418,0.017280545,0.014791215,0.195839028
4.0,770.0,70.0,8.54468949,0.212258386,0.317246714,0.0,0.0,0.095047562,0.015768547,0.014545878,0.195128691
2.0,840.0,140.0,1.407051844,0.212750509,0.27312353,0.0,0.0,0.093790683,0.01316945,0.012519485,0.070824397
2.0,840.0,140.0,1.138187982,0.213661833,0.230215507,0.0,0.0,0.092971455,0.013793741,0.012734354,0.069154608
2.0,840.0,140.0,1.13517117,0.213240331,0.238122583,0.0,0.0,0.093255316,0.013584955,0.012710356,0.06998045
3.0,840.0,140.0,2.972396967,0.214906448,0.272268602,0.0,0.0,0.093815775,0.014816409,0.01328824,0.099106643
3.0,840.0,140.0,1.789953298,0.214340924,0.257324015,0.0,0.0,0.094122759,0.014844762,0.013273883,0.09910834
3.0,840.0,140.0,2.480902012,0.213806779,0.285884001,0.0,0.0,0.094503968,0.014893452,0.014847155,0.096981403
4.0,840.0,140.0,3.165575744,0.214737008,0.322971668,0.0,0.0,0.095808675,0.016474307,0.014139513,0.188166645
4.0,840.0,140.0,2.943768304,0.214458439,0.346849593,0.0,0.0,0.095187461,0.016885517,0.014785437,0.185415831
4.0,840.0,140.0,2.413859277,0.217170247,0.31928344,0.0,0.0,0.096113321,0.01677636,0.015387577,0.195657684
2.0,800.0,0.0,1.34131393,0.217464765,0.220281222,897.599757092,1.340110228,0.047599789,0.014418128,0.014424179,0.035373601
2.0,800.0,0.0,1.318848788,0.215934712,0.220237548,892.266090516,1.323737845,0.047916415,0.014193857,0.014809769,0.033829891
2.0,800.0,0.0,1.59895528,0.217842523,0.222140782,898.901151853,1.610257153,0.049478779,0.014431842,0.014807719,0.039555544
3.0,800.0,0.0,2.775842104,0.220198244,0.223680674,826.748051382,2.738882163,0.04863239,0.015585433,0.016084625,0.033036776
3.0,800.0,0.0,2.110873075,0.216084622,0.222034898,817.198202975,2.13081651,0.048749565,0.015852281,0.016556471,0.03616283
3.0,800.0,0.0,2.524214877,0.217908767,0.226699233,798.50061806,2.506879199,0.048216735,0.015570735,0.016439586,0.03404952
4.0,800.0,0.0,3.479414806,0.215985845,0.236469314,711.200106405,3.484046828,0.049183348,0.017038164,0.017335095,0.032868518
4.0,800.0,0.0,2.892879938,0.215303864,0.229041859,711.620875592,2.927236901,0.049133285,0.017285036,0.016938414,0.03363335
4.0,800.0,0.0,3.268382975,0.21893037,0.224674153,699.533619114,3.30117018,0.049198697,0.017545988,0.017447421,0.036451609
2.0,880.0,80.0,1.828155467,0.217611556,0.235794625,0.0,0.0,0.047436295,0.014085542,0.013567155,0.071667209
2.0,880.0,80.0,3.510429652,0.21774872,0.246539063,0.0,0.0,0.047445834,0.014519321,0.014551322,0.072611903
2.0,880.0,80.0,1.905886383,0.217021594,0.241914579,0.0,0.0,0.047023127,0.014700242,0.014256396,0.078924098
3.0,880.0,80.0,3.440155433,0.219126498,0.281808689,0.0,0.0,0.048176693,0.015886038,0.014796615,0.105997897
3.0,880.0,80.0,2.483241114,0.221142987,0.264061297,0.0,0.0,0.048145336,0.016180354,0.014665677,0.106789242
3.0,880.0,80.0,8.029996791,0.218606922,0.261843432,0.0,0.0,0.047982481,0.016030442,0.015302719,0.106231174
4.0,880.0,80.0,4.022617493,0.219339689,0.380928533,0.0,0.0,0.049020388,0.017739567,0.016046974,0.194218212
4.0,880.0,80.0,12.336709523,0.220395088,0.297930969,0.0,0.0,0.050582216,0.017694442,0.016061802,0.201092555
4.0,880.0,80.0,9.698619578,0.220563261,0.295916519,0.0,0.0,0.049070357,0.017782146,0.016288851,0.211248498
2.0,960.0,160.0,1.944825565,0.218800661,0.24031091,0.0,0.0,0.049401072,0.015128362,0.013881652,0.075367475
2.0,960.0,160.0,1.354579568,0.21907877,0.237102704,0.0,0.0,0.047523791,0.014924088,0.013747368,0.07385797
2.0,960.0,160.0,2.239094195,0.219678244,0.236653211,0.0,0.0,0.048023223,0.015224785,0.014293259,0.074283364
3.0,960.0,160.0,3.326604293,0.222644403,0.279012988,0.0,0.0,0.048963178,0.016222928,0.014714041,0.105986359
3.0,960.0,160.0,2.110173463,0.221652948,0.265458327,0.0,0.0,0.049337063,0.015965962,0.016324278,0.094398155
3.0,960.0,160.0,2.056761079,0.222079024,0.271656464,0.0,0.0,0.048574747,0.01636667,0.014604805,0.103840766
4.0,960.0,160.0,5.645801878,0.212564143,0.300623262,0.0,0.0,0.051056588,0.019883052,0.015306481,0.185088781
