wareh,capacity,buffer,QMK,CHIM,CHI,KLQ,GP,GS,BS,RND
2.0,7200.0,1200.0,109719.0,105841.0,105844.0,0.0,116527.0,129311.0,134761.0,144511.0
2.0,7200.0,1200.0,109070.0,105907.0,105919.0,0.0,116140.0,125440.0,130846.0,143618.0
2.0,7200.0,1200.0,109556.0,105154.0,105092.0,0.0,115203.0,121320.0,125472.0,140991.0
3.0,7200.0,1200.0,116197.0,111306.0,110545.0,0.0,141354.0,152887.0,167066.0,174032.0
3.0,7200.0,1200.0,115472.0,110865.0,110548.0,0.0,140271.0,149433.0,163118.0,173721.0
3.0,7200.0,1200.0,115490.0,110543.0,110263.0,0.0,139680.0,146298.0,158356.0,172803.0
4.0,7200.0,1200.0,119457.0,113584.0,113460.0,0.0,161520.0,171686.0,188114.0,193303.0
4.0,7200.0,1200.0,119236.0,114433.0,114215.0,0.0,159426.0,170026.0,184773.0,193104.0
4.0,7200.0,1200.0,118872.0,114119.0,113677.0,0.0,157448.0,170280.0,180533.0,192493.0
2.0,7000.0,0.0,112845.0,116381.0,112712.0,112845.0,144447.0,150496.0,150496.0,154920.0
2.0,7000.0,0.0,113461.0,115597.0,112426.0,113461.0,143413.0,147099.0,147099.0,154494.0
2.0,7000.0,0.0,111045.0,113078.0,111266.0,111045.0,140006.0,143128.0,143128.0,153107.0
3.0,7000.0,0.0,119259.0,120283.0,117643.0,119259.0,167983.0,180681.0,180681.0,186233.0
3.0,7000.0,0.0,121011.0,118981.0,118067.0,121011.0,165728.0,177711.0,177711.0,185924.0
3.0,7000.0,0.0,116968.0,118820.0,116644.0,116968.0,163581.0,173907.0,173907.0,184910.0
4.0,7000.0,0.0,120213.0,123568.0,120561.0,120213.0,181050.0,200241.0,200241.0,206076.0
4.0,7000.0,0.0,124033.0,123250.0,120148.0,124033.0,180866.0,197123.0,197123.0,205778.0
4.0,7000.0,0.0,119344.0,121016.0,119722.0,119344.0,177454.0,193797.0,193797.0,205017.0
