wareh,capacity,buffer,QMK,CHIM,CHI,KL,KLQ,GP,GS,BS,RND
2.0,720.0,120.0,11238.0,11228.0,11238.0,0.0,0.0,11253.0,11236.0,11239.0,14106.0
3.0,720.0,120.0,15078.0,15090.0,15090.0,0.0,0.0,15180.0,15074.0,15199.0,17426.0
3.0,720.0,120.0,14817.0,14655.0,14655.0,0.0,0.0,14683.0,14713.0,14716.0,17387.0
3.0,720.0,120.0,14066.0,14159.0,14159.0,0.0,0.0,14217.0,14243.0,14180.0,17306.0
4.0,720.0,120.0,17006.0,17198.0,17198.0,0.0,0.0,17280.0,17185.0,17385.0,19351.0
4.0,720.0,120.0,16786.0,16722.0,16722.0,0.0,0.0,16870.0,16862.0,16867.0,19312.0
4.0,720.0,120.0,16409.0,16296.0,16296.0,0.0,0.0,16342.0,17056.0,16386.0,19276.0
2.0,700.0,0.0,13850.0,13857.0,13860.0,15523.0,13850.0,13909.0,13907.0,13907.0,15558.0
2.0,700.0,0.0,13305.0,13298.0,13299.0,15315.0,13305.0,13326.0,14458.0,14458.0,15518.0
2.0,700.0,0.0,12698.0,12696.0,12697.0,15110.0,12698.0,12699.0,14958.0,14958.0,15376.0
3.0,700.0,0.0,16712.0,16705.0,16714.0,18604.0,16712.0,16687.0,16795.0,16795.0,18743.0
3.0,700.0,0.0,16899.0,16189.0,16207.0,18431.0,16899.0,16205.0,16590.0,16590.0,18711.0
3.0,700.0,0.0,17108.0,15700.0,15710.0,18308.0,17108.0,15693.0,16426.0,16426.0,18614.0
4.0,700.0,0.0,18749.0,18744.0,18775.0,20625.0,18749.0,18784.0,18820.0,18820.0,20754.0
4.0,700.0,0.0,18285.0,18290.0,18292.0,20523.0,18285.0,18297.0,18707.0,18707.0,20727.0
4.0,700.0,0.0,17814.0,17845.0,17823.0,20355.0,17814.0,17896.0,18548.0,18548.0,20641.0
2.0,770.0,70.0,13079.0,13055.0,13075.0,0.0,0.0,13080.0,13056.0,13083.0,15054.0
2.0,770.0,70.0,12450.0,12446.0,12446.0,0.0,0.0,12477.0,13634.0,12481.0,14987.0
2.0,770.0,70.0,11907.0,11898.0,11900.0,0.0,0.0,11909.0,14092.0,11908.0,14802.0
3.0,770.0,70.0,16027.0,15884.0,15884.0,0.0,0.0,15878.0,15954.0,16002.0,18103.0
3.0,770.0,70.0,16416.0,15425.0,15425.0,0.0,0.0,15419.0,15851.0,15501.0,18081.0
3.0,770.0,70.0,15242.0,14905.0,14905.0,0.0,0.0,14941.0,15698.0,14953.0,17992.0
4.0,770.0,70.0,17981.0,17960.0,17960.0,0.0,0.0,18009.0,17997.0,18141.0,20074.0
4.0,770.0,70.0,17611.0,17533.0,17533.0,0.0,0.0,17562.0,17679.0,17697.0,20065.0
4.0,770.0,70.0,17242.0,17030.0,17030.0,0.0,0.0,17016.0,18109.0,17207.0,20008.0
2.0,840.0,140.0,12254.0,12247.0,12251.0,0.0,0.0,12261.0,12246.0,12250.0,14498.0
2.0,840.0,140.0,11736.0,11713.0,11736.0,0.0,0.0,11732.0,12762.0,11723.0,14421.0
2.0,840.0,140.0,11254.0,11246.0,11244.0,0.0,0.0,11262.0,13201.0,11254.0,14153.0
3.0,840.0,140.0,15140.0,15201.0,15201.0,0.0,0.0,15208.0,15230.0,15279.0,17482.0
3.0,840.0,140.0,15324.0,14724.0,14724.0,0.0,0.0,14751.0,15161.0,14765.0,17466.0
3.0,840.0,140.0,14388.0,14219.0,14219.0,0.0,0.0,14309.0,15094.0,14227.0,17369.0
4.0,840.0,140.0,17097.0,17319.0,17097.0,0.0,0.0,17325.0,17297.0,17501.0,19427.0
4.0,840.0,140.0,16901.0,16834.0,16834.0,0.0,0.0,16826.0,17395.0,17001.0,19409.0
4.0,840.0,140.0,16467.0,16358.0,16358.0,0.0,0.0,16389.0,16737.0,16436.0,19351.0
2.0,800.0,0.0,13834.0,13815.0,13834.0,15480.0,13834.0,13845.0,13855.0,13855.0,15545.0
2.0,800.0,0.0,13269.0,13270.0,13270.0,15422.0,13269.0,13329.0,13295.0,13295.0,15502.0
2.0,800.0,0.0,12676.0,12682.0,12682.0,15060.0,12676.0,12707.0,12730.0,12730.0,15367.0
3.0,800.0,0.0,16718.0,16676.0,16701.0,18637.0,16718.0,16766.0,16743.0,16743.0,18729.0
3.0,800.0,0.0,16946.0,16174.0,16238.0,18582.0,16946.0,16226.0,16968.0,16968.0,18693.0
3.0,800.0,0.0,15970.0,15647.0,15659.0,18346.0,15970.0,15714.0,17086.0,17086.0,18598.0
4.0,800.0,0.0,18723.0,18749.0,18710.0,20751.0,18723.0,18741.0,18782.0,18782.0,20738.0
