wareh,capacity,buffer,QMK,CHIM,CHI,KLQ,GP,GS,BS,RND
3.0,3300.0,300.0,42.482289148,0.702257188,1.447010146,0.0,7.064941152,0.554106988,0.489990076,0.853226195
4.0,3300.0,300.0,46.813003421,0.803541145,6.312130728,0.0,7.043625747,0.540606252,0.44533064,1.521081905
4.0,3300.0,300.0,60.127858301,0.748476852,2.641331246,0.0,7.153321286,0.593771459,0.536819096,1.647576824
4.0,3300.0,300.0,105.133267223,0.696205655,2.195526875,0.0,6.979632487,0.534240302,0.499880567,1.489696051
2.0,3600.0,600.0,23.563317598,0.855799643,1.138384743,0.0,6.995151551,0.458100629,0.442303057,0.609174516
2.0,3600.0,600.0,26.211281718,0.81144356,0.985770931,0.0,6.927152881,0.444919741,0.465905796,0.580639971
2.0,3600.0,600.0,22.253884574,0.829187109,1.005181462,0.0,6.820930821,0.411031287,0.38304703,0.588567539
3.0,3600.0,600.0,33.121607538,0.765575896,1.768656245,0.0,6.893524417,0.452156994,0.469369084,0.875841078
3.0,3600.0,600.0,41.588457429,0.756892126,1.378894346,0.0,6.882684056,0.465375931,0.482303643,0.839858929
3.0,3600.0,600.0,39.498223915,0.744724914,1.494898092,0.0,6.885852064,0.501481279,0.440095797,0.883708241
4.0,3600.0,600.0,59.298507149,0.837184741,3.479257546,0.0,6.788142084,0.507392175,0.496358088,1.498897687
4.0,3600.0,600.0,76.168239703,0.820401891,2.24337039,0.0,6.808558918,0.52017223,0.406939832,1.458916736
4.0,3600.0,600.0,80.904238426,0.742558174,1.931876888,0.0,6.945712572,0.551717713,0.456828665,1.578481195
2.0,4000.0,0.0,43.857270046,0.883841006,0.900351328,42.145743336,17.027126631,0.739804349,0.556479103,0.423661878
2.0,4000.0,0.0,60.03072101,0.895759054,1.138310552,60.865013094,17.141822571,0.722105333,0.562285997,0.436679364
2.0,4000.0,0.0,38.172632212,0.83177544,1.004753289,38.849306223,16.919642657,0.731167946,0.546539789,0.492406919
3.0,4000.0,0.0,73.662602153,0.806364273,0.975693904,73.716076696,17.377329444,0.957155044,0.677462729,0.446697068
3.0,4000.0,0.0,64.251105345,1.001824938,1.04932109,64.095091991,17.207754345,0.833412484,0.606841132,0.458276356
3.0,4000.0,0.0,60.332766161,0.843949249,1.126867087,61.505769539,17.446643483,0.774983731,0.53411698,0.471250588
4.0,4000.0,0.0,99.07528666,0.862906179,0.989173401,103.741757998,17.084604816,0.897109726,0.62763531,0.484367476
4.0,4000.0,0.0,85.461386114,0.909194241,1.02120024,88.272038556,17.270153184,0.840552051,0.659869271,0.491351585
4.0,4000.0,0.0,86.245512811,0.93826642,1.163004976,83.011934171,17.123145753,0.850491778,0.597147625,0.521755468
2.0,4400.0,400.0,39.859662761,0.912212918,1.475068097,0.0,16.943439098,0.747898206,0.456350314,0.734488776
2.0,4400.0,400.0,46.849579313,0.871707618,1.255025384,0.0,16.924583065,0.807569602,0.534451405,0.691816281
2.0,4400.0,400.0,49.453059276,0.844053103,1.466323487,0.0,17.10269347,0.777093757,0.490859203,0.744871222
3.0,4400.0,400.0,60.759450884,0.998738686,2.939625064,0.0,16.975585633,0.787892598,0.547744825,1.048903432
3.0,4400.0,400.0,70.769328861,1.075425556,1.897705764,0.0,17.080003525,0.749784824,0.488753723,1.005682773
3.0,4400.0,400.0,65.154969196,0.977517783,1.971239391,0.0,17.466574528,0.820750156,0.546985118,1.056997138
4.0,4400.0,400.0,113.023464496,0.918973366,2.876282556,0.0,17.796156006,1.174135387,0.676125537,1.829697242
4.0,4400.0,400.0,96.894558124,0.994777254,3.546712396,0.0,17.313204734,0.978065372,0.633603847,1.764381735
4.0,4400.0,400.0,82.04551977,0.96561318,2.556938763,0.0,17.188002487,0.97245101,0.618943076,1.891159132
2.0,4800.0,800.0,42.256077627,1.073317809,1.577110821,0.0,17.120506272,0.783645725,0.504080632,0.783067493
2.0,4800.0,800.0,41.738231172,0.98644172,1.438023248,0.0,17.168378386,0.811172777,0.478631008,0.757624918
2.0,4800.0,800.0,39.053388863,0.87969259,1.283461144,0.0,17.017857956,0.924274421,0.616854303,0.858271814
3.0,4800.0,800.0,61.475382842,0.94284676,1.959935997,0.0,16.893496619,0.895810864,0.563017886,1.119572853
3.0,4800.0,800.0,90.537993537,1.02431163,2.172179502,0.0,16.915548401,0.778329478,0.498389397,1.024309304
