dependency,skus,wareh,diff,buffer,mode,benchiter,orders,train_test,parcel_train,parcel_test,duration,cap_used,local_search,gap
ED,1000,2,0.0,0.0,BS,1,80000,0.5,53296,53331,0.0169648,1000,0,0.0
ED,1000,2,0.0,0.0,RND,1,80000,0.5,61974,61814,0.0168448,1000,0,0.0
ED,1000,2,0.0,0.0,CHIM_1.0,1,100000,0.5,66562,66573,0.2584319,1000,0,0.0
ED,1000,2,0.0,0.0,CHIM_0.1,1,100000,0.5,66586,66603,0.2528172,1000,0,0.0
ED,1000,2,0.0,0.0,CHIM_0.01,1,100000,0.5,66533,66559,0.2528717,1000,0,0.0
ED,1000,2,0.0,0.0,CHIM_0.001,1,100000,0.5,66533,66559,0.2522843,1000,0,0.0
ED,1000,2,0.0,0.0,CHIM_0.0001,1,100000,0.5,66533,66559,0.2559277,1000,0,0.0
ED,1000,2,0.0,0.0,CHIM_1.0e-5,1,100000,0.5,66533,66559,0.2510186,1000,0,0.0
ED,1000,2,0.0,0.0,CHIM_1.0e-6,1,100000,0.5,66533,66559,0.2574906,1000,0,0.0
ED,1000,2,0.0,0.0,CHIM_1.0e-7,1,100000,0.5,66533,66559,0.2490983,1000,0,0.0
ED,1000,2,0.0,0.0,CHIM_1.0e-8,1,100000,0.5,66551,66593,0.2516432,1000,0,0.0
ED,1000,2,0.0,0.0,CHIM_1.0e-9,1,100000,0.5,66551,66593,0.2565328,1000,0,0.0
ED,1000,2,0.0,0.0,CHI_1.0,1,100000,0.5,66422,66559,0.2669321,1000,4,0.0
ED,1000,2,0.0,0.0,CHI_0.1,1,100000,0.5,66422,66559,0.2689037,1000,4,0.0
ED,1000,2,0.0,0.0,CHI_0.01,1,100000,0.5,66425,66565,0.2619108,1000,4,0.0
ED,1000,2,0.0,0.0,CHI_0.001,1,100000,0.5,66425,66565,0.264577,1000,4,0.0
ED,1000,2,0.0,0.0,CHI_0.0001,1,100000,0.5,66425,66565,0.2770199,1000,4,0.0
ED,1000,2,0.0,0.0,CHI_1.0e-5,1,100000,0.5,66425,66565,0.264449,1000,4,0.0
ED,1000,2,0.0,0.0,CHI_1.0e-6,1,100000,0.5,66425,66565,0.2657326,1000,4,0.0
ED,1000,2,0.0,0.0,CHI_1.0e-7,1,100000,0.5,66425,66565,0.2589814,1000,4,0.0
ED,1000,2,0.0,0.0,CHI_1.0e-8,1,100000,0.5,66422,66559,0.2562256,1000,4,0.0
ED,1000,2,0.0,0.0,CHI_1.0e-9,1,100000,0.5,66422,66559,0.2573382,1000,4,0.0
ED,1000,2,0.0,0.0,GP,1,100000,0.5,75474,75451,0.1087469,1000,0,0.0
ED,1000,2,0.0,0.0,GS,1,100000,0.5,66682,66636,0.0174887,1000,0,0.0
ED,1000,2,0.0,0.0,BS,1,100000,0.5,66682,66636,0.0164056,1000,0,0.0
ED,1000,2,0.0,0.0,RND,1,100000,0.5,77515,77431,0.0177354,1000,0,0.0
ED,1000,2,0.1,0.0,CHIM_1.0,1,20000,0.5,12681,12874,0.2409682,1000,0,0.0
ED,1000,2,0.1,0.0,CHIM_0.1,1,20000,0.5,12682,12878,0.2512796,1000,0,0.0
ED,1000,2,0.1,0.0,CHIM_0.01,1,20000,0.5,12682,12878,0.2431161,1000,0,0.0
ED,1000,2,0.1,0.0,CHIM_0.001,1,20000,0.5,12682,12878,0.2445384,1000,0,0.0
ED,1000,2,0.1,0.0,CHIM_0.0001,1,20000,0.5,12675,12874,0.2442206,1000,0,0.0
ED,1000,2,0.1,0.0,CHIM_1.0e-5,1,20000,0.5,12684,12884,0.2525866,1000,0,0.0
ED,1000,2,0.1,0.0,CHIM_1.0e-6,1,20000,0.5,12690,12887,0.2419109,1000,0,0.0
ED,1000,2,0.1,0.0,CHIM_1.0e-7,1,20000,0.5,12690,12887,0.2469968,1000,0,0.0
ED,1000,2,0.1,0.0,CHIM_1.0e-8,1,20000,0.5,12690,12887,0.2489363,1000,0,0.0
ED,1000,2,0.1,0.0,CHIM_1.0e-9,1,20000,0.5,12690,12887,0.2453142,1000,0,0.0
ED,1000,2,0.1,0.0,CHI_1.0,1,20000,0.5,12670,12868,0.2518452,1000,3,0.0
ED,1000,2,0.1,0.0,CHI_0.1,1,20000,0.5,12671,12874,0.2422308,1000,2,0.0
ED,1000,2,0.1,0.0,CHI_0.01,1,20000,0.5,12671,12874,0.2470846,1000,2,0.0
ED,1000,2,0.1,0.0,CHI_0.001,1,20000,0.5,12671,12874,0.2509181,1000,2,0.0
ED,1000,2,0.1,0.0,CHI_0.0001,1,20000,0.5,12665,12870,0.2451293,1000,2,0.0
ED,1000,2,0.1,0.0,CHI_1.0e-5,1,20000,0.5,12667,12869,0.2504795,1000,2,0.0
ED,1000,2,0.1,0.0,CHI_1.0e-6,1,20000,0.5,12671,12877,0.2441032,1000,2,0.0
ED,1000,2,0.1,0.0,CHI_1.0e-7,1,20000,0.5,12671,12877,0.2461684,1000,2,0.0
ED,1000,2,0.1,0.0,CHI_1.0e-8,1,20000,0.5,12671,12877,0.2460152,1000,2,0.0
ED,1000,2,0.1,0.0,CHI_1.0e-9,1,20000,0.5,12671,12877,0.2467821,1000,2,0.0
ED,1000,2,0.1,0.0,GP,1,20000,0.5,13670,13884,0.1247944,1000,0,0.0
