wareh,capacity,buffer,QMK,CHI,CHILOC,KLINKQMK,GP,GS,BS,RND
2.0,4800.0,800.0,114054.0,112997.0,112729.0,0.0,119981.0,116617.0,120195.0,140908.0
3.0,4800.0,800.0,130291.0,127324.0,126940.0,0.0,148756.0,151043.0,161236.0,173957.0
3.0,4800.0,800.0,129909.0,125850.0,125781.0,0.0,148611.0,149157.0,157059.0,173625.0
3.0,4800.0,800.0,128635.0,125415.0,125201.0,0.0,146277.0,145064.0,152075.0,172724.0
4.0,4800.0,800.0,137887.0,134863.0,134449.0,0.0,167829.0,171991.0,181053.0,193141.0
4.0,4800.0,800.0,137391.0,134945.0,134730.0,0.0,163743.0,171596.0,177269.0,193008.0
4.0,4800.0,800.0,136412.0,133127.0,132377.0,0.0,158222.0,170737.0,173319.0,192387.0
2.0,5000.0,0.0,123748.0,126477.0,124328.0,123748.0,144805.0,148314.0,148314.0,155001.0
2.0,5000.0,0.0,124875.0,124792.0,123298.0,124875.0,141912.0,151636.0,151636.0,154584.0
2.0,5000.0,0.0,121662.0,123033.0,120962.0,121662.0,138181.0,153722.0,153722.0,153229.0
3.0,5000.0,0.0,134887.0,136943.0,134978.0,134887.0,163443.0,176536.0,176536.0,186501.0
3.0,5000.0,0.0,134227.0,135127.0,134370.0,134227.0,160269.0,174329.0,174329.0,186200.0
3.0,5000.0,0.0,133850.0,134554.0,132765.0,133850.0,159947.0,171841.0,171841.0,185161.0
4.0,5000.0,0.0,141153.0,143475.0,141837.0,141153.0,180837.0,195868.0,195868.0,206419.0
4.0,5000.0,0.0,140435.0,141764.0,140613.0,140435.0,179930.0,193774.0,193774.0,206149.0
4.0,5000.0,0.0,141481.0,140361.0,139822.0,141481.0,178101.0,191322.0,191322.0,205321.0
2.0,5500.0,500.0,120851.0,119164.0,117528.0,0.0,130764.0,138285.0,140253.0,150000.0
2.0,5500.0,500.0,118993.0,118160.0,117546.0,0.0,130056.0,141198.0,135802.0,149381.0
2.0,5500.0,500.0,117053.0,116100.0,115858.0,0.0,127001.0,143023.0,130241.0,147474.0
3.0,5500.0,500.0,132114.0,130341.0,129503.0,0.0,156546.0,164282.0,169429.0,180244.0
3.0,5500.0,500.0,131625.0,130173.0,129495.0,0.0,155936.0,161528.0,165451.0,179998.0
3.0,5500.0,500.0,130729.0,129093.0,127999.0,0.0,153539.0,160139.0,160926.0,179093.0
4.0,5500.0,500.0,138926.0,137122.0,136624.0,0.0,171757.0,182319.0,189102.0,199776.0
4.0,5500.0,500.0,138440.0,137158.0,136199.0,0.0,172454.0,180165.0,185334.0,199612.0
4.0,5500.0,500.0,138290.0,134927.0,134714.0,0.0,168814.0,178095.0,181208.0,199000.0
2.0,6000.0,1000.0,117380.0,115523.0,114349.0,0.0,122421.0,128919.0,132094.0,144558.0
2.0,6000.0,1000.0,116384.0,114067.0,113449.0,0.0,122027.0,131364.0,127308.0,143636.0
2.0,6000.0,1000.0,112482.0,112488.0,112401.0,0.0,119049.0,132028.0,121196.0,141039.0
3.0,6000.0,1000.0,129848.0,126794.0,126366.0,0.0,149308.0,152665.0,162516.0,174031.0
3.0,6000.0,1000.0,129646.0,124794.0,124750.0,0.0,147655.0,151526.0,158425.0,173739.0
3.0,6000.0,1000.0,129834.0,124520.0,124089.0,0.0,145290.0,150532.0,153480.0,172769.0
4.0,6000.0,1000.0,137136.0,133309.0,132509.0,0.0,165436.0,171808.0,182791.0,193384.0
4.0,6000.0,1000.0,136082.0,132753.0,132413.0,0.0,161952.0,169089.0,178913.0,193150.0
4.0,6000.0,1000.0,136490.0,132413.0,131886.0,0.0,158403.0,167898.0,174788.0,192548.0
2.0,6000.0,0.0,123177.0,124711.0,123146.0,123177.0,142516.0,148271.0,148271.0,155278.0
2.0,6000.0,0.0,123822.0,124325.0,122058.0,123822.0,141080.0,144088.0,144088.0,154830.0
2.0,6000.0,0.0,123175.0,121837.0,120277.0,123175.0,137932.0,139442.0,139442.0,153461.0
3.0,6000.0,0.0,133755.0,136288.0,133609.0,133755.0,161203.0,177719.0,177719.0,186890.0
3.0,6000.0,0.0,132357.0,133191.0,132276.0,132357.0,157565.0,173268.0,173268.0,186568.0
3.0,6000.0,0.0,131302.0,133075.0,131299.0,131302.0,154142.0,168803.0,168803.0,185565.0
4.0,6000.0,0.0,139264.0,139686.0,139275.0,139264.0,177430.0,196426.0,196426.0,206879.0
4.0,6000.0,0.0,139738.0,139882.0,138377.0,139738.0,176800.0,193644.0,193644.0,206601.0
4.0,6000.0,0.0,138187.0,138719.0,137449.0,138187.0,175193.0,190603.0,190603.0,205803.0
2.0,6600.0,600.0,119545.0,118525.0,118059.0,0.0,126373.0,137311.0,140361.0,150212.0
2.0,6600.0,600.0,117868.0,118062.0,116840.0,0.0,126766.0,133804.0,136109.0,149574.0
2.0,6600.0,600.0,117363.0,115880.0,115338.0,0.0,125314.0,128458.0,130539.0,147667.0
3.0,6600.0,600.0,130854.0,130389.0,129232.0,0.0,149785.0,163686.0,170145.0,180643.0
3.0,6600.0,600.0,129816.0,128584.0,127685.0,0.0,150478.0,159241.0,165953.0,180377.0
3.0,6600.0,600.0,128513.0,128619.0,126430.0,0.0,149518.0,155331.0,161168.0,179421.0
4.0,6600.0,600.0,136926.0,134854.0,134669.0,0.0,170495.0,182576.0,190094.0,200247.0
4.0,6600.0,600.0,136325.0,134777.0,134120.0,0.0,169125.0,179812.0,186279.0,200039.0
4.0,6600.0,600.0,136265.0,133864.0,133082.0,0.0,162423.0,176809.0,182458.0,199426.0
2.0,7200.0,1200.0,116677.0,113831.0,113826.0,0.0,119493.0,128101.0,132362.0,144703.0
2.0,7200.0,1200.0,114774.0,113922.0,113475.0,0.0,119102.0,123798.0,127650.0,143870.0
2.0,7200.0,1200.0,113007.0,112477.0,112477.0,0.0,119127.0,118552.0,121601.0,141198.0
3.0,7200.0,1200.0,128436.0,125846.0,125245.0,0.0,144589.0,152489.0,163161.0,174441.0
3.0,7200.0,1200.0,127143.0,125205.0,124620.0,0.0,144622.0,149402.0,158773.0,174072.0
3.0,7200.0,1200.0,125857.0,123769.0,123418.0,0.0,141603.0,146217.0,153702.0,173152.0
4.0,7200.0,1200.0,134453.0,131716.0,131556.0,0.0,163938.0,172261.0,183864.0,193743.0
4.0,7200.0,1200.0,133653.0,131115.0,130572.0,0.0,157660.0,169859.0,179986.0,193557.0
