dependency,skus,service_level,wareh,diff,buffer,heuristic,parcel_train,parcel_test,duration
HD,1000,0.8,2,0.1,0.0,RND,154593,154818,0.2445505
HD,1000,0.7,2,0.1,0.0,CHIM,130394,130708,0.2964078
HD,1000,0.7,2,0.1,0.0,CHI,129513,129868,0.301575
HD,1000,0.7,2,0.1,0.0,RND,154483,154852,0.2539249
HD,1000,0.6,2,0.1,0.0,CHIM,130394,130708,0.3068975
HD,1000,0.6,2,0.1,0.0,CHI,129513,129868,0.3057555
HD,1000,0.6,2,0.1,0.0,RND,154576,154889,0.2332622
HD,1000,0.5,2,0.1,0.0,CHIM,130394,130708,0.3024187
HD,1000,0.5,2,0.1,0.0,CHI,129513,129868,0.3025715
HD,1000,0.5,2,0.1,0.0,RND,154605,154804,0.2782508
HD,1000,0.4,2,0.1,0.0,CHIM,130394,130708,0.3047889
HD,1000,0.4,2,0.1,0.0,CHI,129513,129868,0.3044316
HD,1000,0.4,2,0.1,0.0,RND,154551,154782,0.2478401
HD,1000,0.3,2,0.1,0.0,CHIM,130394,130708,0.2963409
HD,1000,0.3,2,0.1,0.0,CHI,129513,129868,0.3089019
HD,1000,0.3,2,0.1,0.0,RND,154554,154825,0.2570968
HD,1000,0.2,2,0.1,0.0,CHIM,130484,130807,0.3071374
HD,1000,0.2,2,0.1,0.0,CHI,129513,129868,0.3097697
HD,1000,0.2,2,0.1,0.0,RND,154500,154858,0.2553688
HD,1000,0.1,2,0.1,0.0,CHIM,130484,130807,0.2934004
HD,1000,0.1,2,0.1,0.0,CHI,129513,129868,0.296857
HD,1000,0.1,2,0.1,0.0,RND,154533,154813,0.2463932
HD,1000,0.09,2,0.1,0.0,CHIM,130484,130807,0.2956937
HD,1000,0.09,2,0.1,0.0,CHI,129513,129868,0.2967357
HD,1000,0.09,2,0.1,0.0,RND,154608,154769,0.2385673
HD,1000,0.08,2,0.1,0.0,CHIM,130484,130807,0.333859
HD,1000,0.08,2,0.1,0.0,CHI,129513,129868,0.3113314
HD,1000,0.08,2,0.1,0.0,RND,154531,154771,0.2513261
HD,1000,0.07,2,0.1,0.0,CHIM,130484,130807,0.3008833
HD,1000,0.07,2,0.1,0.0,CHI,129513,129868,0.3048245
HD,1000,0.07,2,0.1,0.0,RND,154543,154734,0.2325661
HD,1000,0.06,2,0.1,0.0,CHIM,130484,130807,0.2876107
HD,1000,0.06,2,0.1,0.0,CHI,129513,129868,0.3040382
HD,1000,0.06,2,0.1,0.0,RND,154566,154826,0.2330233
HD,1000,0.05,2,0.1,0.0,CHIM,130484,130807,0.2985012
HD,1000,0.05,2,0.1,0.0,CHI,129513,129868,0.2893998
HD,1000,0.05,2,0.1,0.0,RND,154503,154815,0.2375595
HD,1000,0.04,2,0.1,0.0,CHIM,129933,130363,0.3073012
HD,1000,0.04,2,0.1,0.0,CHI,129120,129525,0.2836224
HD,1000,0.04,2,0.1,0.0,RND,154552,154835,0.2594504
HD,1000,0.03,2,0.1,0.0,CHIM,129933,130363,0.2997484
HD,1000,0.03,2,0.1,0.0,CHI,129120,129525,0.3146135
HD,1000,0.03,2,0.1,0.0,RND,154548,154872,0.2681684
HD,1000,0.02,2,0.1,0.0,CHIM,129933,130363,0.295211
HD,1000,0.02,2,0.1,0.0,CHI,129120,129525,0.3017786
HD,1000,0.02,2,0.1,0.0,RND,154503,154741,0.256288
HD,1000,0.01,2,0.1,0.0,CHIM,129933,130363,0.2971326
HD,1000,0.01,2,0.1,0.0,CHI,129120,129525,0.286528
HD,1000,0.01,2,0.1,0.0,RND,154643,154847,0.232045
HD,1000,0.009,2,0.1,0.0,CHIM,129933,130363,0.3080668
HD,1000,0.009,2,0.1,0.0,CHI,129120,129525,0.2977056
HD,1000,0.009,2,0.1,0.0,RND,154505,154810,0.2340779
HD,1000,0.008,2,0.1,0.0,CHIM,129933,130363,0.2986895
HD,1000,0.008,2,0.1,0.0,CHI,129120,129525,0.2984444
HD,1000,0.008,2,0.1,0.0,RND,154505,154815,0.2336052
HD,1000,0.007,2,0.1,0.0,CHIM,129933,130363,0.3132137
HD,1000,0.007,2,0.1,0.0,CHI,129120,129525,0.3067732
HD,1000,0.007,2,0.1,0.0,RND,154414,154772,0.2405333
HD,1000,0.006,2,0.1,0.0,CHIM,129933,130363,0.3079428
HD,1000,0.006,2,0.1,0.0,CHI,129120,129525,0.2902463
HD,1000,0.006,2,0.1,0.0,RND,154529,154854,0.2365891
HD,1000,0.005,2,0.1,0.0,CHIM,129933,130363,0.2953954
HD,1000,0.005,2,0.1,0.0,CHI,129120,129525,0.2962589
HD,1000,0.005,2,0.1,0.0,RND,154545,154911,0.2307016
HD,1000,0.004,2,0.1,0.0,CHIM,129898,130320,0.3093877
HD,1000,0.004,2,0.1,0.0,CHI,129120,129525,0.2863181
HD,1000,0.004,2,0.1,0.0,RND,154459,154804,0.2845467
HD,1000,0.003,2,0.1,0.0,CHIM,129898,130320,0.2921414
HD,1000,0.003,2,0.1,0.0,CHI,129120,129525,0.2849773
HD,1000,0.003,2,0.1,0.0,RND,154569,154739,0.2513405
HD,1000,0.002,2,0.1,0.0,CHIM,129898,130320,0.2904785
HD,1000,0.002,2,0.1,0.0,CHI,129120,129525,0.2801492
HD,1000,0.002,2,0.1,0.0,RND,154455,154875,0.2527607
HD,1000,0.001,2,0.1,0.0,CHIM,130220,130692,0.2956056
HD,1000,0.001,2,0.1,0.0,CHI,129142,129498,0.2875227
HD,1000,0.001,2,0.1,0.0,RND,154471,154905,0.2400153
HD,1000,0.0009,2,0.1,0.0,CHIM,130220,130692,0.2952295
HD,1000,0.0009,2,0.1,0.0,CHI,129142,129498,0.2822844
HD,1000,0.0009,2,0.1,0.0,RND,154495,154873,0.2311564
HD,1000,0.0008,2,0.1,0.0,CHIM,130220,130692,0.3004863
HD,1000,0.0008,2,0.1,0.0,CHI,129142,129498,0.2858515
HD,1000,0.0008,2,0.1,0.0,RND,154531,154854,0.2335718
HD,1000,0.0007,2,0.1,0.0,CHIM,130220,130692,0.3180502
HD,1000,0.0007,2,0.1,0.0,CHI,129142,129498,0.2925653
