dependency,skus,wareh,diff,buffer,weight_mode,mode,benchiter,orders,train_test,parcel_train,parcel_test,flexibility,duration,cap_used,local_search,gap
HD-VF,100,6,0.0,0.2,uniform,CHI_1.0e-5_LS,1,200,0.5,46,66,0.67,1.443758383,120,2,0.0
HD-VF,100,6,0.0,0.2,uniform,CHI_1.0e-5,1,1000,0.5,272,300,0.534,1.480011155,120,0,0.0
HD-VF,100,6,0.0,0.2,uniform,CHI_1.0e-5_LS,1,1000,0.5,243,281,0.564,1.480783854,120,3,0.0
HD-VF,100,6,0.0,0.2,uniform,CHI_1.0e-5,1,2000,0.5,533,577,0.721,1.377998176,120,0,0.0
HD-VF,100,6,0.0,0.2,uniform,CHI_1.0e-5_LS,1,2000,0.5,508,565,0.724,1.378907862,120,3,0.0
HD-VF,100,6,0.2,0.2,uniform,CHI_1.0e-5,1,200,0.5,49,67,0.78,1.624730419,120,0,0.0
HD-VF,100,6,0.2,0.2,uniform,CHI_1.0e-5_LS,1,200,0.5,36,64,0.81,1.6250236,120,2,0.0
HD-VF,100,6,0.2,0.2,uniform,CHI_1.0e-5,1,1000,0.5,247,275,0.662,1.175686053,120,0,0.0
HD-VF,100,6,0.2,0.2,uniform,CHI_1.0e-5_LS,1,1000,0.5,231,278,0.674,1.1761442029999998,120,2,0.0
HD-VF,100,6,0.2,0.2,uniform,CHI_1.0e-5,1,2000,0.5,480,471,0.793,1.29684233,120,0,0.0
HD-VF,100,6,0.2,0.2,uniform,CHI_1.0e-5_LS,1,2000,0.5,480,471,0.793,1.297561129,120,1,0.0
HD-VF,100,8,0.0,0.2,uniform,CHI_1.0e-5,1,200,0.5,62,91,0.48,1.218567335,120,0,0.0
HD-VF,100,8,0.0,0.2,uniform,CHI_1.0e-5_LS,1,200,0.5,35,77,0.49,1.2189484689999999,120,5,0.0
HD-VF,100,8,0.0,0.2,uniform,CHI_1.0e-5,1,1000,0.5,314,368,0.666,1.272936641,120,0,0.0
HD-VF,100,8,0.0,0.2,uniform,CHI_1.0e-5_LS,1,1000,0.5,265,324,0.712,1.2738126440000002,120,6,0.0
